scenario,group,discipline,service_distribution,capacity,age_threshold,simulated_time,server_utilization,avg_queue_length,avg_system_length,throughput,mean_wait_A,mean_wait_B,mean_wait_total,mean_sojourn_A,mean_sojourn_B,mean_sojourn_total,p95_wait_total,drop_rate_total,drop_rate_A,drop_rate_B,promoted_fraction_A,completed_A,completed_B,replication
fifo_mm1,disciplinas,fifo,exponential,,2.0,33107.73094952733,0.7514069352721584,2.591997965629146,3.343404900901312,0.7551106428318042,3.408034022180668,3.4777353253005012,3.431506633019303,4.409397978039601,4.4604842140643,4.4266017788832785,12.68267707949235,0.0,0.0,0.0,0.0,16581,8419,1
fifo_mm1,disciplinas,fifo,exponential,,2.0,33446.29719730181,0.7463981633537897,2.1411465658537825,2.887544729207586,0.7474668975319878,2.8721830602171905,2.849110987688288,2.8645369753811125,3.873345957913279,3.8424503919201234,3.8631071673431467,10.214031378044638,0.0,0.0,0.0,0.0,16715,8285,2
fifo_mm1,disciplinas,fifo,exponential,,2.0,33521.0012286546,0.7505003062169405,2.258823590887848,3.009323897104818,0.7458011122480843,3.0192261927826314,3.047341027071387,3.02872113461863,4.013816462629818,4.076606760690186,4.035022002090766,10.584652262639793,0.0,0.0,0.0,0.0,16557,8443,3
fifo_mm1,disciplinas,fifo,exponential,,2.0,33226.38864836711,0.7573525948491949,2.3734986266773035,3.130851221526491,0.7524140003469384,3.1698935735817044,3.124173503055382,3.1545115130538286,4.173771219030251,4.136034803728595,4.161075179466162,11.448501026985468,0.0,0.0,0.0,0.0,16589,8411,4
fifo_mm1,disciplinas,fifo,exponential,,2.0,33365.19591852518,0.743615221334373,2.3074188501520996,3.051034071486487,0.7492837764551947,3.0764717460522233,3.0854683406221604,3.0794992800568988,4.065137398824585,4.085334068101559,4.071933981969672,11.49558744774913,0.0,0.0,0.0,0.0,16587,8413,5
fifo_mm1,disciplinas,fifo,exponential,,2.0,32725.515995023856,0.7554786856749228,2.3912251292661386,3.146703814941111,0.7639298950641886,3.12226546588139,3.145933599238817,3.130163048620096,4.110143458544177,4.136985890077667,4.1191002410982716,11.87631739517201,0.0,0.0,0.0,0.0,16658,8342,6
fifo_mm1,disciplinas,fifo,exponential,,2.0,33329.72924407434,0.7549558398902886,2.275245952336764,3.0302017922270457,0.7500811007771605,3.0350137972980775,3.0295144765926927,3.033197261682675,4.038572764604167,4.041973849823183,4.039696211073713,10.817562570162409,0.0,0.0,0.0,0.0,16742,8258,7
prioridade_estrita,disciplinas,strict_priority,exponential,,2.0,33327.828655171324,0.752677754460522,2.147112035288253,2.899789789748777,0.7501238757155235,3.8115105335832853,0.9886243422867392,2.8623432806217344,4.814737083687171,1.9923804523028537,3.865747889950508,11.885546780882578,0.0,0.0,0.0,0.0,16594,8406,1
prioridade_estrita,disciplinas,strict_priority,exponential,,2.0,33323.492159859416,0.7492489113331825,2.373220180473961,3.122469091807143,0.7502214917953386,4.2500755832249935,0.986540621575276,3.1565302882754063,5.236593204803979,2.0094256399692463,4.155233897179157,13.765431822567734,0.0,0.0,0.0,0.0,16623,8377,2
prioridade_estrita,disciplinas,strict_priority,exponential,,2.0,33489.8854201054,0.7466409065075076,2.1023039455160424,2.848944852023509,0.7464940439895157,3.73300750321355,1.0194612156790903,2.8161544835814065,4.732024134816568,2.021970521465209,3.81635121993741,12.244552437139646,0.0,0.0,0.0,0.0,16553,8447,3
prioridade_estrita,disciplinas,strict_priority,exponential,,2.0,33170.20495545062,0.7573291105184664,2.25706929165198,3.014398402170456,0.7536884391753488,3.983518387993015,1.0500297565612413,2.9946980401099927,4.983722741902916,2.0639582076444385,3.9995285126950684,12.57122778467965,0.0,0.0,0.0,0.0,16573,8427,4
prioridade_estrita,disciplinas,strict_priority,exponential,,2.0,33288.03110123564,0.7437868540645276,2.092394679725295,2.8361815337898375,0.7510206874047294,3.6868005658552656,0.9824725945500081,2.7858266589352056,4.674106502039976,1.9789694931759316,3.7761946561668314,11.941018468955008,0.0,0.0,0.0,0.0,16671,8329,5
prioridade_estrita,disciplinas,strict_priority,exponential,,2.0,33297.25915093789,0.757323857270253,2.355728334575509,3.113052191845769,0.7508125484645429,4.215303043142112,1.058134161845619,3.1375718738227407,5.22036362713678,2.073775263399237,4.146244223291332,13.155072009732976,0.0,0.0,0.0,0.0,16466,8534,6
prioridade_estrita,disciplinas,strict_priority,exponential,,2.0,33608.37784447161,0.7424394063334769,2.187099878210472,2.929539284543961,0.7438621440074163,3.9154103383077254,0.9897251862737539,2.9401039360256807,4.915802014500489,1.9832044782406113,3.938191299812896,12.199332207223051,0.0,0.0,0.0,0.0,16666,8334,7
prioridade_dinamica,disciplinas,dynamic_aging,exponential,,2.0,33310.66750580715,0.758768166245331,2.3631973089677665,3.121965475213138,0.7505103281296202,3.4855227720504898,2.492436834617578,3.148787192385738,4.502021689064019,3.492727325826109,4.1597901563773085,11.294644058103586,0.0,0.0,0.0,0.5146159898323549,16523,8477,1
prioridade_dinamica,disciplinas,dynamic_aging,exponential,,2.0,33192.90829334312,0.757718450644613,2.1980184261228413,2.955736876767476,0.7531729301651395,3.2315354848496676,2.289320116810197,2.918230030669183,4.235402658264075,3.299707163803362,3.9242651924459984,10.478608999190328,0.0,0.0,0.0,0.49820230105465,16687,8313,2
prioridade_dinamica,disciplinas,dynamic_aging,exponential,,2.0,33126.298966626884,0.7595823981491183,2.4096874558799763,3.169269854029095,0.7546873867553472,3.5028043393922736,2.5851022587024475,3.192914700784933,4.512223333530473,3.5858359599503036,4.199400845219921,11.580202656274196,0.0,0.0,0.0,0.5103569056102422,16558,8442,3
prioridade_dinamica,disciplinas,dynamic_aging,exponential,,2.0,33818.40687996083,0.735082238881604,2.1274462725274192,2.862528511409035,0.7392423921309494,3.15355887559593,2.310774164052919,2.8775637382598243,4.147735175837834,3.3055493086435357,3.871936148049045,11.058571469297021,0.0,0.0,0.0,0.47130879467205805,16813,8187,4
prioridade_dinamica,disciplinas,dynamic_aging,exponential,,2.0,33093.85764887211,0.7509694831793909,2.2797190385466437,3.030688521726036,0.7554271933254672,3.290850740716448,2.4593742839390353,3.0149003342411604,4.288211378728101,3.4469074210098762,4.008999421240576,11.141436717931356,0.0,0.0,0.0,0.4853654156940205,16703,8297,5
prioridade_dinamica,disciplinas,dynamic_aging,exponential,,2.0,33888.76558372782,0.7450907992786019,2.0978267778756123,2.842917577154243,0.7377076021914504,3.143417816234074,2.2277348995165647,2.843220328817406,4.158105513533902,3.228149171102548,3.8532286262312065,10.05575092620711,0.0,0.0,0.0,0.48539299101564826,16804,8196,6
