scenario,group,discipline,service_distribution,capacity,age_threshold,replications,simulated_time,simulated_time_ci95,server_utilization,server_utilization_ci95,avg_queue_length,avg_queue_length_ci95,avg_system_length,avg_system_length_ci95,throughput,throughput_ci95,mean_wait_A,mean_wait_A_ci95,mean_wait_B,mean_wait_B_ci95,mean_wait_total,mean_wait_total_ci95,mean_sojourn_A,mean_sojourn_A_ci95,mean_sojourn_B,mean_sojourn_B_ci95,mean_sojourn_total,mean_sojourn_total_ci95,p95_wait_total,p95_wait_total_ci95,drop_rate_total,drop_rate_total_ci95,drop_rate_A,drop_rate_A_ci95,drop_rate_B,drop_rate_B_ci95,promoted_fraction_A,promoted_fraction_A_ci95,mean_wait_A_theoretical,mean_wait_B_theoretical,mean_wait_A_relative_error,mean_wait_B_relative_error
fifo_mm1,disciplinas,fifo,exponential,,2.0,7,33245.97988306775,197.71205589534765,0.7513868209416669,0.0037181312114867855,2.3341938115432974,0.10406565523932762,3.085580632484979,0.10544189870026047,0.7520124893221941,0.004508244195931886,3.100441122570555,0.12227718263095215,3.1084681799384613,0.14048529997282583,3.1031622637760776,0.12799606846435524,4.097740748512268,0.12285874267885855,4.1114099969150875,0.13598299690361343,4.102362365989287,0.12669418804280858,11.302761308606543,0.6218680830565816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.033480374190185014,0.036156059979487086
prioridade_estrita,disciplinas,strict_priority,exponential,,2.0,7,33357.86846960456,107.3689075570019,0.7499209714982765,0.004507135559265953,2.2164183350630733,0.08538809820060927,2.9663393065613506,0.0880268734627581,0.7494604615074879,0.0024061766363143505,3.942232279331421,0.16506047504300073,1.0107125541102469,0.02377783317202962,2.9561755087674526,0.1099706582501344,4.939621329841126,0.16529415058104963,2.017669150885361,0.028212501683380492,3.9567845284333147,0.11237866592577764,12.537454501597235,0.5124778701860344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,-0.01444193016714479,0.010712554110246852
prioridade_dinamica,disciplinas,dynamic_aging,exponential,,2.0,7,33403.88262951801,240.6906335838403,0.7515253007038826,0.00656764837872305,2.2502076342167983,0.08592976782454967,3.0017329349206934,0.09114452764055539,0.7484763353232794,0.005361971042445639,3.3074520435941883,0.10814800077639687,2.400182651423005,0.09446127055314646,3.005060404893695,0.09903883149726356,4.31361321425604,0.11105835872291711,3.400105775721591,0.09350975681235094,4.009134941073916,0.10058590357262245,10.991190280154894,0.3964217996729234,0.0,0.0,0.0,0.0,0.0,0.0,0.4935511018616548,0.011281940647576854,,,,
prioridade_dinamica_T1,sensibilidade_T,dynamic_aging,exponential,,1.0,7,33321.054461876236,67.76743538440071,0.750254306889386,0.005163784013327917,2.2756937246014792,0.1250951022535349,3.0259480314908695,0.12921198075791773,0.7502812320063172,0.0015286281113449417,3.1894862979473078,0.16569772244965794,2.7181051976849253,0.1595066246435706,3.032298676585659,0.1625752648485911,4.189443922807582,0.17255857073654066,3.7180887188353524,0.1576990610641079,4.032256065816136,0.16679619522098213,11.083935007601667,0.5964818532708364,0.0,0.0,0.0,0.0,0.0,0.0,0.5963783365354254,0.007379167442262069,,,,
prioridade_dinamica_T2,sensibilidade_T,dynamic_aging,exponential,,2.0,7,33416.245586772726,132.18253513843138,0.7511669830858307,0.006359559090199422,2.2614471066204462,0.15714630866504567,3.0126140897062794,0.1621023611215907,0.7481573421195816,0.0029522292386081075,3.3316318437170653,0.2019435290030781,2.399547220008687,0.20735155103580594,3.021923495677289,0.20332415226592818,4.333239902295582,0.2050145301032849,3.408367509841132,0.21508431047629556,4.025940295451191,0.20778915334354386,11.067677041086426,0.8013890066874684,0.0,0.0,0.0,0.0,0.0,0.0,0.4923923475078952,0.009928760721756977,,,,
prioridade_dinamica_T4,sensibilidade_T,dynamic_aging,exponential,,4.0,7,33369.47542762104,154.9221097154652,0.7520597467011182,0.0039386668267442125,2.2611280158670444,0.08797262324736346,3.013187762568154,0.09150372182768202,0.7492130402494029,0.0034969898700606687,3.5157485992264554,0.11705901131161113,2.0188667374856415,0.09618001744035007,3.017260979121094,0.10760960326078574,4.520935540006157,0.11699929276274455,3.0198895477833925,0.10300918247115114,4.021068844780855,0.10932842973087264,11.196302989783751,0.42779618520105744,0.0,0.0,0.0,0.0,0.0,0.0,0.34294011581161665,0.010142068329083083,,,,
dinamica_servico_exponencial,distribuicoes_servico,dynamic_aging,exponential,,2.0,7,33339.28521405976,222.10021795684267,0.74898585530243,0.0062551902602974545,2.2066066428054087,0.07809154808710841,2.955592498107825,0.082319249933274,0.7499187444423618,0.005059170894686596,3.245611234058311,0.10478527644729409,2.335926648795627,0.095308559300483,2.942075705937094,0.09937104946322553,4.244678565126098,0.10722876440409128,3.33402225689879,0.0977021969440002,3.9408289049885674,0.10270473880423313,10.6733215818959,0.3508102022800317,0.0,0.0,0.0,0.0,0.0,0.0,0.48984142265150604,0.009112362134641809,,,,
dinamica_servico_deterministico,distribuicoes_servico,dynamic_aging,deterministic,,2.0,7,33360.63495583876,258.8728069754005,0.7494569320502968,0.005834956210695694,1.1359320227931193,0.06790607907739728,1.8853889548434106,0.07358484093663854,0.7494569320502968,0.005834956210695716,1.785668747922847,0.09241976579532374,0.976354720500893,0.05783283321731691,1.5144822422551194,0.0791017449566845,2.7856687479228466,0.09241976579531881,1.9763547205008931,0.05783283321731702,2.514482242255119,0.07910174495668101,5.4115574874923755,0.277354875905756,0.0,0.0,0.0,0.0,0.0,0.0,0.350006786908654,0.016804854911122345,,,,
dinamica_servico_erlang2,distribuicoes_servico,dynamic_aging,erlang2,,2.0,7,33386.78394567874,258.635577883849,0.7499498289852605,0.007845520669530983,1.6797331543862621,0.08470220468899181,2.4296829833715163,0.09217420706566247,0.7488696276749182,0.00581382603454334,2.523899672045795,0.09955063602792646,1.6709691830386075,0.0921371695800411,2.2417290942220798,0.09683071069771201,3.523923273194682,0.10219500744609678,2.675249710530183,0.0957731606201383,3.2431540997562562,0.09968522045833687,8.140325639583223,0.34720338286230557,0.0,0.0,0.0,0.0,0.0,0.0,0.43564815859844463,0.013320074063737865,,,,
dinamica_buffer_infinito,armazenamento,dynamic_aging,exponential,,2.0,7,33209.5622347509,164.47244904311745,0.7527565209900321,0.003943334190584336,2.253091615640116,0.1087868764682247,3.0058481366301364,0.11144545405696214,0.7528240568524383,0.0037269544289941204,3.2948901185992527,0.1318450364328853,2.382776466953906,0.1352074441643686,2.99158474968087,0.13196975521746027,4.297388047875159,0.12952652951664986,3.3775124272124692,0.1387449569502344,3.9915081928337766,0.13148030122581436,10.892760476802485,0.5734014696949202,0.0,0.0,0.0,0.0,0.0,0.0,0.49040900530581666,0.00938408774343286,,,,
